Unnamed: 0,item_number,description,category,item_link,minifigs_link,color_link,Name,Hair Type,Is_Fantasy_Color,Is_Natural_Color
38,36060,"Minifigure, Hair Coiled and Short","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=36060,https://www.bricklink.com/catalogItemIn.asp?P=36060&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=36060#T=C,Dark Brown,Black-coded,False,True
839,36268,"Minifigure, Hair Short, Bob Cut with Left Side Part and Right Curl","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=36268,https://www.bricklink.com/catalogItemIn.asp?P=36268&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=36268#T=C,Dark Brown,Black-coded,False,True
840,36268,"Minifigure, Hair Short, Bob Cut with Left Side Part and Right Curl","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=36268,https://www.bricklink.com/catalogItemIn.asp?P=36268&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=36268#T=C,Reddish Brown,Black-coded,True,True
187,3759pb01,"Minifigure, Hair Female Long Thick Braid with Dark Red, Silver, and Bright Light Blue Wrap Pattern","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=3759pb01,https://www.bricklink.com/catalogItemIn.asp?P=3759pb01&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=3759pb01#T=C,Black,Black-coded,False,True
163,3986,"Minifigure, Hair Female Long Peaked Top Knot Inclined to the Left","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=3986,https://www.bricklink.com/catalogItemIn.asp?P=3986&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=3986#T=C,Black,Black-coded,False,True
464,3987,"Minifigure, Hair Female Tousled Curls, Updo with Center Part","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=3987,https://www.bricklink.com/catalogItemIn.asp?P=3987&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=3987#T=C,Dark Orange,Black-coded,True,True
786,40938,"Minifigure, Hair Short Tousled with 2 Locks on Left Side","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=40938,https://www.bricklink.com/catalogItemIn.asp?P=40938&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=40938#T=C,Dark Brown,Black-coded,False,True
828,42874pb01,"Minifigure, Hair Short with Lock Sticking Up and Black Top Pattern","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=42874pb01,https://www.bricklink.com/catalogItemIn.asp?P=42874pb01&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=42874pb01#T=C,Dark Tan,Black-coded,False,True
715,44756,"Minifigure, Hair Pulled Back in Top Knot, Hole on Left","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=44756,https://www.bricklink.com/catalogItemIn.asp?P=44756&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=44756#T=C,Black,Black-coded,False,True
191,48212,"Minifigure, Hair Female Long Top Braided, Elaborate","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=48212,https://www.bricklink.com/catalogItemIn.asp?P=48212&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=48212#T=C,Dark Brown,Black-coded,False,True
